artist_name,seed_song_title,search_query,query_variant,candidate_rank,video_id,candidate_title,channel_title,published_at,youtube_url,description_preview,view_count,like_count,comment_count,duration,category_id,default_language,default_audio_language,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes,pipeline_status
Tarkan,Şımarık,Tarkan Şımarık,base,1,cpp69ghR1IM,TARKAN - Şımarık (Official Music Video),Tarkan,2012-05-01T16:28:30Z,https://www.youtube.com/watch?v=cpp69ghR1IM,1997 - TARKAN - Ölürüm Sana - Şımarık Takmış koluna elin adamını Beni orta yerimden çatlatıyor Ağzında sakızı şişirip şişirip ...,101666267,741930,3,PT3M12S,10,tr,tr,,,,,,,,,needs_manual_review
Tarkan,Şımarık,Tarkan Şımarık,base,2,9UAwX1slv8g,TARKAN - Şımarık,İSTANBUL PLAK,2013-05-22T12:53:10Z,https://www.youtube.com/watch?v=9UAwX1slv8g,[TARKAN - Ölürüm Sana © 1997 İstanbul Plak] iTunes: http://geni.us/3ma http://www.tarkan.com https://www.facebook.com/tarkan ...,9496350,41245,2283,PT4M,10,tr,,,,,,,,,,needs_manual_review
Tarkan,Şımarık,Tarkan Şımarık,base,3,pu9co0YRKHg,Simarik,Tarkan - Topic,2015-11-20T18:00:58Z,https://www.youtube.com/watch?v=pu9co0YRKHg,Provided to YouTube by The Orchard Enterprises Simarik · Tarkan Arabian 2000 & 1 Nights - Vol.1 ℗ 2007 Take 5 Music ...,17768431,100782,633,PT3M13S,10,en,,,,,,,,,,needs_manual_review
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,base,1,NAHRpEqgcL4,TARKAN - Kuzu Kuzu (Official Music Video),Tarkan,2012-05-01T16:28:27Z,https://www.youtube.com/watch?v=NAHRpEqgcL4,2001 - TARKAN - Karma - Kuzu Kuzu (Original) Bak kırıldı kolum kanadım Olmadı tutunamadım Zor yokluğun çok zor Alışamadım ...,165129486,552529,30782,PT4M2S,10,tr,tr,,,,,,,,,needs_manual_review
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,base,2,_xgryOIbJj4,Kuzu Kuzu,Tarkan - Topic,2018-05-04T05:58:00Z,https://www.youtube.com/watch?v=_xgryOIbJj4,Provided to YouTube by Daphne Media Music Kuzu Kuzu · Tarkan Karma ℗ İstanbul Plak Released on: 2001-07-23 ...,7143304,29969,328,PT3M54S,10,en,,,,,,,,,,needs_manual_review
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,base,3,1TtalpYn0A4,TARKAN - Kuzu Kuzu (Acoustic ) (Official Music Video),Tarkan,2012-05-01T16:28:28Z,https://www.youtube.com/watch?v=1TtalpYn0A4,2001 - TARKAN - Karma - Kuzu Kuzu (Acoustic) Bak kırıldı kolum kanadım Olmadı tutunamadım Zor yokluğun çok zor Alışamadım ...,2616761,19395,1480,PT3M43S,10,tr,tr,,,,,,,,,needs_manual_review
Tarkan,Dudu,Tarkan Dudu,base,1,SCZgGVqVsbY,TARKAN - Dudu (Official Music Video),Tarkan,2012-05-01T16:28:29Z,https://www.youtube.com/watch?v=SCZgGVqVsbY,2003 - TARKAN - Dudu Ağlamadan ayrılık olmaz Hatıralar uslu durmaz Kalanlar gideni gönlünde taşır Aşk sevene yük olmaz Biz ...,383243053,1194173,49885,PT4M24S,10,tr,tr,,,,,,,,,needs_manual_review
Tarkan,Dudu,Tarkan Dudu,base,2,mtJGJP50zNw,Tarkan - Dudu,Cerice Janan,2006-10-11T04:40:29Z,https://www.youtube.com/watch?v=mtJGJP50zNw,Lyrics: Dudu / Woman There's no parting without tears Memories can't be controlled Those left keep those gone in their hears ...,54692134,123084,9163,PT4M23S,24,en,,,,,,,,,,needs_manual_review
Tarkan,Dudu,Tarkan Dudu,base,3,FtCHL-d5WGA,Tarkan - Dudu,MüzikTürk,2019-08-22T14:47:58Z,https://www.youtube.com/watch?v=FtCHL-d5WGA,Tarkan - Dudu (Dudu) şarkısıyla MüzikTürk te.,804473,4207,132,PT4M38S,10,en,en,,,,,,,,,needs_manual_review
Mustafa Ceceli,Gül Rengi,Mustafa Ceceli Gül Rengi,base,1,NudUovOABjQ,Mustafa Ceceli - Gül Rengi,netd müzik,2015-04-07T09:08:26Z,https://www.youtube.com/watch?v=NudUovOABjQ,"Mustafa Ceceli'nin, DMC etiketiyle yayınlanan ""Kalpten"" albümünde yer alan ""Gül Rengi"" isimli şarkısı, video klibiyle netd müzik'te ...",224748781,723779,30131,PT3M47S,10,tr,tr,,,,,,,,,needs_manual_review
Mustafa Ceceli,Gül Rengi,Mustafa Ceceli Gül Rengi,base,2,bsg2LRL_1bo,Kapışma 7.Bölüm Mustafa Ceceli ve Canan Düet,Show TV,2015-08-12T07:38:23Z,https://www.youtube.com/watch?v=bsg2LRL_1bo,Show TV YouTube Kanalına Abone Ol → http://showtv.tv/AGqcyj BAŞVURU FORMU: http://showtv.com.tr/basvuru Kapışma Her ...,6361521,42418,1790,PT5M6S,27,tr,,,,,,,,,,needs_manual_review
Mustafa Ceceli,Gül Rengi,Mustafa Ceceli Gül Rengi,base,3,YhhTilqRDuw,Mustafa Ceceli - Gül Rengi,DMC,2015-07-16T09:05:41Z,https://www.youtube.com/watch?v=YhhTilqRDuw,Mustafa Ceceli - Gül Rengi http://facebook.com/dmccomtr http://twitter.com/dmccomtr http://instagram.com/dmccomtr.,98031,645,30,PT3M45S,10,tr,tr,,,,,,,,,needs_manual_review
Mustafa Ceceli,Sultanım,Mustafa Ceceli Sultanım,base,1,tuAYyDO5fEs,Mustafa Ceceli - Sultanım,netd müzik,2015-12-01T10:00:02Z,https://www.youtube.com/watch?v=tuAYyDO5fEs,"Mustafa Ceceli'nin, Ceceli Müzik Prodüksiyon etiketiyle yayınlanan ""Aşk İçin Gelmişiz"" albümünde yer alan ""Sultanım"" isimli ...",162374628,521062,27499,PT4M47S,10,tr,tr,,,,,,,,,needs_manual_review
Mustafa Ceceli,Sultanım,Mustafa Ceceli Sultanım,base,2,EWR1OS1qPiY,Mustafa Ceceli - &quot;Sultanım&quot;,Ahmed Hulusi,2015-12-10T18:43:28Z,https://www.youtube.com/watch?v=EWR1OS1qPiY,"http://ahmedhulusi.org/ MUSTAFA CECELİ - ""SULTANIM"" SULTANIM Can yakan gözlerini, bak görmeye geldim Abu hayat ...",418946,2385,,PT4M33S,10,tr,tr,,,,,,,,,needs_manual_review
Mustafa Ceceli,Sultanım,Mustafa Ceceli Sultanım,base,3,MkoeDv-L8eE,Mustafa Ceceli - Sultanım - (Şarkı sözü / Lyrics),Yuki Yuki,2023-09-08T04:00:09Z,https://www.youtube.com/watch?v=MkoeDv-L8eE,Can yakan gözlerini bak görmeye geldim A bu hayat sözlerinle gül olup yeşermeye geldim A bu hayat sözlerinle gül olup ...,7275,39,5,PT4M35S,22,tr,,,,,,,,,,needs_manual_review
Müslüm Gürses,Vay Canım Vay,Müslüm Gürses Vay Canım Vay,base,1,NBy3GXENQYU,Müslüm Gürses - Vay Canım Vay,Tanju Güney,2013-03-06T15:43:32Z,https://www.youtube.com/watch?v=NBy3GXENQYU,sen şarkılarınlan yaşayacaksın müslüm baba...,3408707,18688,949,PT4M56S,10,tr,,,,,,,,,,needs_manual_review
Müslüm Gürses,Vay Canım Vay,Müslüm Gürses Vay Canım Vay,base,2,R_dn1T2F4Xc,Vay Canım Vay - Müslüm Gürses Anısına - Anatolian Rock&amp;Psyhdelic Arabesk,Anadolucovers,2025-12-27T18:00:23Z,https://www.youtube.com/watch?v=R_dn1T2F4Xc,"https://open.spotify.com/intl-tr/track/1Oo96ws9oOtXKO2ZQc2hM7?si=e1cbba3f2d17434e Sevgili Dostlar, Bu cover bir sitemin, ...",1962550,8576,418,PT5M44S,10,tr,tr,,,,,,,,,needs_manual_review
Müslüm Gürses,Vay Canım Vay,Müslüm Gürses Vay Canım Vay,base,3,PCh4efgKXBg,Müslüm Gürses -Vay Canım Vay - (İbo Show Star Tv 2010),Müslüm Gürses,2022-08-31T19:34:46Z,https://www.youtube.com/watch?v=PCh4efgKXBg,,2494344,6433,366,PT6M,22,tr,,,,,,,,,,needs_manual_review
